term,explanation
Load Balancer,"A device or software that distributes network or application traffic across multiple servers to ensure no single server gets overwhelmed."
Malware,"Malicious Software. Any software intentionally designed to cause disruption to a computer, server, client, or computer network, leak private information, or gain unauthorized access."
Microservices,"An architectural style that structures an application as a collection of small, independent services. Each service is self-contained and can be deployed and scaled independently."
Monolith,"A single-tiered software application in which different components are combined into a single program from a single platform."
Neural Network,"A series of algorithms that endeavors to recognize underlying relationships in a set of data through a process that mimics the way the human brain operates."
NLP,"Natural Language Processing. A field of AI that gives machines the ability to read, understand and derive meaning from human languages."
NoSQL,"A type of database that provides a mechanism for storing and retrieving data that is modeled in means other than the tabular relations used in relational databases."
OAuth,"Open Authorization. An open standard for access delegation, commonly used as a way for Internet users to grant websites or applications access to their information on other websites but without giving them the passwords."
OOP,"Object-Oriented Programming. A programming paradigm based on the concept of 'objects', which can contain data and code: data in the form of fields (often known as attributes or properties), and code, in the form of procedures (often known as methods)."
PaaS,"Platform as a Service. A cloud computing model where a third-party provider delivers hardware and software tools to users over the internet. PaaS provides a platform for developers to build, run, and manage applications without the complexity of building and maintaining the infrastructure."
Phishing,"A cyberattack that uses disguised email as a weapon. The goal is to trick the email recipient into believing that the message is something they want or need."
RAG,"Retrieval-Augmented Generation. An AI framework that retrieves factual information from an external knowledge base to ground a large language model's answers, reducing hallucinations."
RAM,"Random Access Memory. A form of volatile computer memory that stores working data and machine code. It is the computer's 'short-term memory'."
React,"A free and open-source front-end JavaScript library for building user interfaces based on UI components."
REST,"Representational State Transfer. An architectural style for providing standards between computer systems on the web, making it easier for systems to communicate with each other."
SaaS,"Software as a Service. A software licensing and delivery model in which software is licensed on a subscription basis and is centrally hosted."
SDK,"Software Development Kit. A collection of software development tools in one installable package. They facilitate the creation of applications for a specific platform."
Serverless Computing,"A cloud computing model where the cloud provider runs the server and dynamically manages the allocation of machine resources."
SMTP,"Simple Mail Transfer Protocol. A communication protocol for electronic mail transmission."
Spark,"An open-source, distributed, general-purpose cluster-computing framework. It provides an interface for programming entire clusters with implicit data parallelism and fault tolerance."
SQL,"Structured Query Language. A standard programming language for storing, manipulating, and retrieving data in relational databases."
SSD,"Solid State Drive. A storage device containing non-volatile flash memory, used in place of a hard disk drive."
SSH,"Secure Shell. A cryptographic network protocol for operating network services securely over an unsecured network."
SSL/TLS,"Secure Sockets Layer / Transport Layer Security. Cryptographic protocols designed to provide communications security over a computer network."
Two-Factor Authentication (2FA),"A security process where users provide two different authentication factors to verify themselves. This adds an extra layer of security."
VM,"Virtual Machine. An emulation of a computer system. Virtual machines are based on computer architectures and provide functionality of a physical computer."
VPC,"Virtual Private Cloud. A secure, isolated private cloud hosted within a public cloud. It provides a virtualized network for an organization's cloud resources."
VPN,"Virtual Private Network. Extends a private network across a public network, and enables users to send and receive data as if their computing devices were directly connected to the private network."
WebSocket,"A computer communications protocol, providing full-duplex communication channels over a single TCP connection. Used for real-time applications like live chat or online gaming."
XML,"eXtensible Markup Language. A markup language and file format for storing, transmitting, and reconstructing arbitrary data. It defines a set of rules for encoding documents in a format that is both human-readable and machine-readable."
YAML,"YAML Ain't Markup Language. A human-readable data-serialization language. It is commonly used for configuration files and in applications where data is being stored or transmitted."
